Passenger_Name__c,Title__c,Survived__c,Travel_Class__c,Sex__c,Age__c,Age_Group__c,Port_of_Embarkation__c,Fare__c,Fare_Category__c,Deck__c,Cabin__c,Ticket_Number__c,Siblings_Spouses__c,Parents_Children__c,Family_Group__c,Had_Lifeboat__c,Lifeboat__c,Home_Destination__c
"Hassab, Mr. Hammad",Mr,Yes,First,Male,27,Young Adult,Cherbourg,76.7292,Premium,D,D49,PC 17572,0,0,Solo,Yes,3,
"Hawksford, Mr. Walter James",Mr,Yes,First,Male,,Unknown,Southampton,30.0000,Premium,D,D45,16988,0,0,Solo,Yes,3,"Kingston, Surrey"
"Hays, Miss. Margaret Bechstein",Miss,Yes,First,Female,24,Young Adult,Cherbourg,83.1583,Premium,C,C54,11767,0,0,Solo,Yes,7,"New York, NY"
"Hays, Mr. Charles Melville",Mr,No,First,Male,55,Middle Aged,Southampton,93.5000,Premium,B,B69,12749,1,1,Small Family,No,,"Montreal, PQ"
"Hays, Mrs. Charles Melville (Clara Jennings Gregg)",Mrs,Yes,First,Female,52,Middle Aged,Southampton,93.5000,Premium,B,B69,12749,1,1,Small Family,Yes,3,"Montreal, PQ"
"Head, Mr. Christopher",Mr,No,First,Male,42,Middle Aged,Southampton,42.5000,Premium,B,B11,113038,0,0,Solo,No,,London / Middlesex
"Hilliard, Mr. Herbert Henry",Mr,No,First,Male,,Unknown,Southampton,51.8625,Premium,E,E46,17463,0,0,Solo,No,,"Brighton, MA"
"Hipkins, Mr. William Edward",Mr,No,First,Male,55,Middle Aged,Southampton,50.0000,Premium,C,C39,680,0,0,Solo,No,,London / Birmingham
"Hippach, Miss. Jean Gertrude",Miss,Yes,First,Female,16,Teen,Cherbourg,57.9792,Premium,B,B18,111361,0,1,Small Family,Yes,4,"Chicago, IL"
"Hippach, Mrs. Louis Albert (Ida Sophia Fischer)",Mrs,Yes,First,Female,44,Middle Aged,Cherbourg,57.9792,Premium,B,B18,111361,0,1,Small Family,Yes,4,"Chicago, IL"
"Hogeboom, Mrs. John C (Anna Andrews)",Mrs,Yes,First,Female,51,Middle Aged,Southampton,77.9583,Premium,D,D11,13502,1,0,Small Family,Yes,10,"Hudson, NY"
"Holverson, Mr. Alexander Oskar",Mr,No,First,Male,42,Middle Aged,Southampton,52.0000,Premium,Unknown,,113789,1,0,Small Family,No,,"New York, NY"
"Holverson, Mrs. Alexander Oskar (Mary Aline Towner)",Mrs,Yes,First,Female,35,Young Adult,Southampton,52.0000,Premium,Unknown,,113789,1,0,Small Family,Yes,8,"New York, NY"
"Homer, Mr. Harry (""Mr E Haven"")",Mr,Yes,First,Male,35,Young Adult,Cherbourg,26.5500,Standard,Unknown,,111426,0,0,Solo,Yes,15,"Indianapolis, IN"
"Hoyt, Mr. Frederick Maxfield",Mr,Yes,First,Male,38,Middle Aged,Southampton,90.0000,Premium,C,C93,19943,1,0,Small Family,Yes,D,"New York, NY /  Stamford CT"
"Hoyt, Mr. William Fisher",Mr,No,First,Male,,Unknown,Cherbourg,30.6958,Premium,Unknown,,PC 17600,0,0,Solo,Yes,14,"New York, NY"
"Hoyt, Mrs. Frederick Maxfield (Jane Anne Forby)",Mrs,Yes,First,Female,35,Young Adult,Southampton,90.0000,Premium,C,C93,19943,1,0,Small Family,Yes,D,"New York, NY /  Stamford CT"
"Icard, Miss. Amelie",Miss,Yes,First,Female,38,Middle Aged,,80.0000,Premium,B,B28,113572,0,0,Solo,Yes,6,
"Isham, Miss. Ann Elizabeth",Miss,No,First,Female,50,Middle Aged,Cherbourg,28.7125,Standard,C,C49,PC 17595,0,0,Solo,No,,"Paris, France New York, NY"
"Ismay, Mr. Joseph Bruce",Mr,Yes,First,Male,49,Middle Aged,Southampton,0.0000,Budget,B,B52 B54 B56,112058,0,0,Solo,Yes,C,Liverpool
"Jones, Mr. Charles Cresson",Mr,No,First,Male,46,Middle Aged,Southampton,26.0000,Standard,Unknown,,694,0,0,Solo,No,,"Bennington, VT"
"Julian, Mr. Henry Forbes",Mr,No,First,Male,50,Middle Aged,Southampton,26.0000,Standard,E,E60,113044,0,0,Solo,No,,London
"Keeping, Mr. Edwin",Mr,No,First,Male,32.5,Young Adult,Cherbourg,211.5000,Luxury,C,C132,113503,0,0,Solo,No,,
"Kent, Mr. Edward Austin",Mr,No,First,Male,58,Senior,Cherbourg,29.7000,Standard,B,B37,11771,0,0,Solo,No,,"Buffalo, NY"
"Kenyon, Mr. Frederick R",Mr,No,First,Male,41,Middle Aged,Southampton,51.8625,Premium,D,D21,17464,1,0,Small Family,No,,"Southington / Noank, CT"
"Kenyon, Mrs. Frederick R (Marion)",Mrs,Yes,First,Female,,Unknown,Southampton,51.8625,Premium,D,D21,17464,1,0,Small Family,Yes,8,"Southington / Noank, CT"
"Kimball, Mr. Edwin Nelson Jr",Mr,Yes,First,Male,42,Middle Aged,Southampton,52.5542,Premium,D,D19,11753,1,0,Small Family,Yes,5,"Boston, MA"
"Kimball, Mrs. Edwin Nelson Jr (Gertrude Parsons)",Mrs,Yes,First,Female,45,Middle Aged,Southampton,52.5542,Premium,D,D19,11753,1,0,Small Family,Yes,5,"Boston, MA"
"Klaber, Mr. Herman",Mr,No,First,Male,,Unknown,Southampton,26.5500,Standard,C,C124,113028,0,0,Solo,No,,"Portland, OR"
"Kreuchen, Miss. Emilie",Miss,Yes,First,Female,39,Middle Aged,Southampton,211.3375,Luxury,Unknown,,24160,0,0,Solo,Yes,2,
"Leader, Dr. Alice (Farnham)",Dr,Yes,First,Female,49,Middle Aged,Southampton,25.9292,Standard,D,D17,17465,0,0,Solo,Yes,8,"New York, NY"
"LeRoy, Miss. Bertha",Miss,Yes,First,Female,30,Young Adult,Cherbourg,106.4250,Luxury,Unknown,,PC 17761,0,0,Solo,Yes,2,
"Lesurer, Mr. Gustave J",Mr,Yes,First,Male,35,Young Adult,Cherbourg,512.3292,Luxury,B,B101,PC 17755,0,0,Solo,Yes,3,
"Lewy, Mr. Ervin G",Mr,No,First,Male,,Unknown,Cherbourg,27.7208,Standard,Unknown,,PC 17612,0,0,Solo,No,,"Chicago, IL"
"Lindeberg-Lind, Mr. Erik Gustaf (""Mr Edward Lingrey"")",Mr,No,First,Male,42,Middle Aged,Southampton,26.5500,Standard,Unknown,,17475,0,0,Solo,No,,"Stockholm, Sweden"
"Lindstrom, Mrs. Carl Johan (Sigrid Posse)",Mrs,Yes,First,Female,55,Middle Aged,Cherbourg,27.7208,Standard,Unknown,,112377,0,0,Solo,Yes,6,"Stockholm, Sweden"
"Lines, Miss. Mary Conover",Miss,Yes,First,Female,16,Teen,Southampton,39.4000,Premium,D,D28,PC 17592,0,1,Small Family,Yes,9,"Paris, France"
"Lines, Mrs. Ernest H (Elizabeth Lindsey James)",Mrs,Yes,First,Female,51,Middle Aged,Southampton,39.4000,Premium,D,D28,PC 17592,0,1,Small Family,Yes,9,"Paris, France"
"Long, Mr. Milton Clyde",Mr,No,First,Male,29,Young Adult,Southampton,30.0000,Premium,D,D6,113501,0,0,Solo,No,,"Springfield, MA"
"Longley, Miss. Gretchen Fiske",Miss,Yes,First,Female,21,Young Adult,Southampton,77.9583,Premium,D,D9,13502,0,0,Solo,Yes,10,"Hudson, NY"
"Loring, Mr. Joseph Holland",Mr,No,First,Male,30,Young Adult,Southampton,45.5000,Premium,Unknown,,113801,0,0,Solo,No,,"London / New York, NY"
"Lurette, Miss. Elise",Miss,Yes,First,Female,58,Senior,Cherbourg,146.5208,Luxury,B,B80,PC 17569,0,0,Solo,No,,
"Madill, Miss. Georgette Alexandra",Miss,Yes,First,Female,15,Teen,Southampton,211.3375,Luxury,B,B5,24160,0,1,Small Family,Yes,2,"St Louis, MO"
"Maguire, Mr. John Edward",Mr,No,First,Male,30,Young Adult,Southampton,26.0000,Standard,C,C106,110469,0,0,Solo,No,,"Brockton, MA"
"Maioni, Miss. Roberta",Miss,Yes,First,Female,16,Teen,Southampton,86.5000,Premium,B,B79,110152,0,0,Solo,Yes,8,
"Marechal, Mr. Pierre",Mr,Yes,First,Male,,Unknown,Cherbourg,29.7000,Standard,C,C47,11774,0,0,Solo,Yes,7,"Paris, France"
"Marvin, Mr. Daniel Warner",Mr,No,First,Male,19,Teen,Southampton,53.1000,Premium,D,D30,113773,1,0,Small Family,No,,"New York, NY"
"Marvin, Mrs. Daniel Warner (Mary Graham Carmichael Farquarson)",Mrs,Yes,First,Female,18,Teen,Southampton,53.1000,Premium,D,D30,113773,1,0,Small Family,Yes,10,"New York, NY"
"Mayne, Mlle. Berthe Antonine (""Mrs de Villiers"")",Miss,Yes,First,Female,24,Young Adult,Cherbourg,49.5042,Premium,C,C90,PC 17482,0,0,Solo,Yes,6,"Belgium  Montreal, PQ"
"McCaffry, Mr. Thomas Francis",Mr,No,First,Male,46,Middle Aged,Cherbourg,75.2417,Premium,C,C6,13050,0,0,Solo,No,,"Vancouver, BC"
"McCarthy, Mr. Timothy J",Mr,No,First,Male,54,Middle Aged,Southampton,51.8625,Premium,E,E46,17463,0,0,Solo,No,,"Dorchester, MA"
"McGough, Mr. James Robert",Mr,Yes,First,Male,36,Middle Aged,Southampton,26.2875,Standard,E,E25,PC 17473,0,0,Solo,Yes,7,"Philadelphia, PA"
"Meyer, Mr. Edgar Joseph",Mr,No,First,Male,28,Young Adult,Cherbourg,82.1708,Premium,Unknown,,PC 17604,1,0,Small Family,No,,"New York, NY"
"Meyer, Mrs. Edgar Joseph (Leila Saks)",Mrs,Yes,First,Female,,Unknown,Cherbourg,82.1708,Premium,Unknown,,PC 17604,1,0,Small Family,Yes,6,"New York, NY"
"Millet, Mr. Francis Davis",Mr,No,First,Male,65,Senior,Southampton,26.5500,Standard,E,E38,13509,0,0,Solo,No,,"East Bridgewater, MA"
"Minahan, Dr. William Edward",Dr,No,First,Male,44,Middle Aged,Queenstown,90.0000,Premium,C,C78,19928,2,0,Small Family,No,,"Fond du Lac, WI"
"Minahan, Miss. Daisy E",Miss,Yes,First,Female,33,Young Adult,Queenstown,90.0000,Premium,C,C78,19928,1,0,Small Family,Yes,14,"Green Bay, WI"
"Minahan, Mrs. William Edward (Lillian E Thorpe)",Mrs,Yes,First,Female,37,Middle Aged,Queenstown,90.0000,Premium,C,C78,19928,1,0,Small Family,Yes,14,"Fond du Lac, WI"
"Mock, Mr. Philipp Edmund",Mr,Yes,First,Male,30,Young Adult,Cherbourg,57.7500,Premium,C,C78,13236,1,0,Small Family,Yes,11,"New York, NY"
"Molson, Mr. Harry Markland",Mr,No,First,Male,55,Middle Aged,Southampton,30.5000,Premium,C,C30,113787,0,0,Solo,No,,"Montreal, PQ"
"Moore, Mr. Clarence Bloomfield",Mr,No,First,Male,47,Middle Aged,Southampton,42.4000,Premium,Unknown,,113796,0,0,Solo,No,,"Washington, DC"
"Natsch, Mr. Charles H",Mr,No,First,Male,37,Middle Aged,Cherbourg,29.7000,Standard,C,C118,PC 17596,0,1,Small Family,No,,"Brooklyn, NY"
"Newell, Miss. Madeleine",Miss,Yes,First,Female,31,Young Adult,Cherbourg,113.2750,Luxury,D,D36,35273,1,0,Small Family,Yes,6,"Lexington, MA"
"Newell, Miss. Marjorie",Miss,Yes,First,Female,23,Young Adult,Cherbourg,113.2750,Luxury,D,D36,35273,1,0,Small Family,Yes,6,"Lexington, MA"
"Newell, Mr. Arthur Webster",Mr,No,First,Male,58,Senior,Cherbourg,113.2750,Luxury,D,D48,35273,0,2,Small Family,No,,"Lexington, MA"
"Newsom, Miss. Helen Monypeny",Miss,Yes,First,Female,19,Teen,Southampton,26.2833,Standard,D,D47,11752,0,2,Small Family,Yes,5,"New York, NY"
"Nicholson, Mr. Arthur Ernest",Mr,No,First,Male,64,Senior,Southampton,26.0000,Standard,Unknown,,693,0,0,Solo,No,,"Isle of Wight, England"
"Oliva y Ocana, Dona. Fermina",Titled,Yes,First,Female,39,Middle Aged,Cherbourg,108.9000,Luxury,C,C105,PC 17758,0,0,Solo,Yes,8,
"Omont, Mr. Alfred Fernand",Mr,Yes,First,Male,,Unknown,Cherbourg,25.7417,Standard,Unknown,,F.C. 12998,0,0,Solo,Yes,7,"Paris, France"
"Ostby, Miss. Helene Ragnhild",Miss,Yes,First,Female,22,Young Adult,Cherbourg,61.9792,Premium,B,B36,113509,0,1,Small Family,Yes,5,"Providence, RI"
"Ostby, Mr. Engelhart Cornelius",Mr,No,First,Male,65,Senior,Cherbourg,61.9792,Premium,B,B30,113509,0,1,Small Family,No,,"Providence, RI"
"Ovies y Rodriguez, Mr. Servando",Mr,No,First,Male,28.5,Young Adult,Cherbourg,27.7208,Standard,D,D43,PC 17562,0,0,Solo,No,,"?Havana, Cuba"
"Parr, Mr. William Henry Marsh",Mr,No,First,Male,,Unknown,Southampton,0.0000,Budget,Unknown,,112052,0,0,Solo,No,,Belfast
"Partner, Mr. Austen",Mr,No,First,Male,45.5,Middle Aged,Southampton,28.5000,Standard,C,C124,113043,0,0,Solo,No,,"Surbiton Hill, Surrey"
"Payne, Mr. Vivian Ponsonby",Mr,No,First,Male,23,Young Adult,Southampton,93.5000,Premium,B,B24,12749,0,0,Solo,No,,"Montreal, PQ"
"Pears, Mr. Thomas Clinton",Mr,No,First,Male,29,Young Adult,Southampton,66.6000,Premium,C,C2,113776,1,0,Small Family,No,,"Isleworth, England"
"Pears, Mrs. Thomas (Edith Wearne)",Mrs,Yes,First,Female,22,Young Adult,Southampton,66.6000,Premium,C,C2,113776,1,0,Small Family,Yes,8,"Isleworth, England"
"Penasco y Castellana, Mr. Victor de Satode",Mr,No,First,Male,18,Teen,Cherbourg,108.9000,Luxury,C,C65,PC 17758,1,0,Small Family,No,,"Madrid, Spain"
"Penasco y Castellana, Mrs. Victor de Satode (Maria Josefa Perez de Soto y Vallejo)",Mrs,Yes,First,Female,17,Teen,Cherbourg,108.9000,Luxury,C,C65,PC 17758,1,0,Small Family,Yes,8,"Madrid, Spain"
"Perreault, Miss. Anne",Miss,Yes,First,Female,30,Young Adult,Southampton,93.5000,Premium,B,B73,12749,0,0,Solo,Yes,3,
"Peuchen, Major. Arthur Godfrey",Officer,Yes,First,Male,52,Middle Aged,Southampton,30.5000,Premium,C,C104,113786,0,0,Solo,Yes,6,"Toronto, ON"
"Porter, Mr. Walter Chamberlain",Mr,No,First,Male,47,Middle Aged,Southampton,52.0000,Premium,C,C110,110465,0,0,Solo,No,,"Worcester, MA"
"Potter, Mrs. Thomas Jr (Lily Alexenia Wilson)",Mrs,Yes,First,Female,56,Senior,Cherbourg,83.1583,Premium,C,C50,11767,0,1,Small Family,Yes,7,"Mt Airy, Philadelphia, PA"
"Reuchlin, Jonkheer. John George",Titled,No,First,Male,38,Middle Aged,Southampton,0.0000,Budget,Unknown,,19972,0,0,Solo,No,,"Rotterdam, Netherlands"
"Rheims, Mr. George Alexander Lucien",Mr,Yes,First,Male,,Unknown,Southampton,39.6000,Premium,Unknown,,PC 17607,0,0,Solo,Yes,A,"Paris /  New York, NY"
"Ringhini, Mr. Sante",Mr,No,First,Male,22,Young Adult,Cherbourg,135.6333,Luxury,Unknown,,PC 17760,0,0,Solo,No,,
"Robbins, Mr. Victor",Mr,No,First,Male,,Unknown,Cherbourg,227.5250,Luxury,Unknown,,PC 17757,0,0,Solo,No,,
"Robert, Mrs. Edward Scott (Elisabeth Walton McMillan)",Mrs,Yes,First,Female,43,Middle Aged,Southampton,211.3375,Luxury,B,B3,24160,0,1,Small Family,Yes,2,"St Louis, MO"
"Roebling, Mr. Washington Augustus II",Mr,No,First,Male,31,Young Adult,Southampton,50.4958,Premium,A,A24,PC 17590,0,0,Solo,No,,"Trenton, NJ"
"Romaine, Mr. Charles Hallace (""Mr C Rolmane"")",Mr,Yes,First,Male,45,Middle Aged,Southampton,26.5500,Standard,Unknown,,111428,0,0,Solo,Yes,9,"New York, NY"
"Rood, Mr. Hugh Roscoe",Mr,No,First,Male,,Unknown,Southampton,50.0000,Premium,A,A32,113767,0,0,Solo,No,,"Seattle, WA"
"Rosenbaum, Miss. Edith Louise",Miss,Yes,First,Female,33,Young Adult,Cherbourg,27.7208,Standard,A,A11,PC 17613,0,0,Solo,Yes,11,"Paris, France"
"Rosenshine, Mr. George (""Mr George Thorne"")",Mr,No,First,Male,46,Middle Aged,Cherbourg,79.2000,Premium,Unknown,,PC 17585,0,0,Solo,No,,"New York, NY"
"Ross, Mr. John Hugo",Mr,No,First,Male,36,Middle Aged,Cherbourg,40.1250,Premium,A,A10,13049,0,0,Solo,No,,"Winnipeg, MB"
"Rothes, the Countess. of (Lucy Noel Martha Dyer-Edwards)",Mr,Yes,First,Female,33,Young Adult,Southampton,86.5000,Premium,B,B77,110152,0,0,Solo,Yes,8,"London  Vancouver, BC"
"Rothschild, Mr. Martin",Mr,No,First,Male,55,Middle Aged,Cherbourg,59.4000,Premium,Unknown,,PC 17603,1,0,Small Family,No,,"New York, NY"
"Rothschild, Mrs. Martin (Elizabeth L. Barrett)",Mrs,Yes,First,Female,54,Middle Aged,Cherbourg,59.4000,Premium,Unknown,,PC 17603,1,0,Small Family,Yes,6,"New York, NY"
"Rowe, Mr. Alfred G",Mr,No,First,Male,33,Young Adult,Southampton,26.5500,Standard,Unknown,,113790,0,0,Solo,No,,London
"Ryerson, Master. John Borie",Master,Yes,First,Male,13,Teen,Cherbourg,262.3750,Luxury,B,B57 B59 B63 B66,PC 17608,2,2,Large Family,Yes,4,"Haverford, PA / Cooperstown, NY"
"Ryerson, Miss. Emily Borie",Miss,Yes,First,Female,18,Teen,Cherbourg,262.3750,Luxury,B,B57 B59 B63 B66,PC 17608,2,2,Large Family,Yes,4,"Haverford, PA / Cooperstown, NY"
"Ryerson, Miss. Susan Parker ""Suzette""",Miss,Yes,First,Female,21,Young Adult,Cherbourg,262.3750,Luxury,B,B57 B59 B63 B66,PC 17608,2,2,Large Family,Yes,4,"Haverford, PA / Cooperstown, NY"
"Ryerson, Mr. Arthur Larned",Mr,No,First,Male,61,Senior,Cherbourg,262.3750,Luxury,B,B57 B59 B63 B66,PC 17608,1,3,Large Family,No,,"Haverford, PA / Cooperstown, NY"
"Ryerson, Mrs. Arthur Larned (Emily Maria Borie)",Mrs,Yes,First,Female,48,Middle Aged,Cherbourg,262.3750,Luxury,B,B57 B59 B63 B66,PC 17608,1,3,Large Family,Yes,4,"Haverford, PA / Cooperstown, NY"
"Saalfeld, Mr. Adolphe",Mr,Yes,First,Male,,Unknown,Southampton,30.5000,Premium,C,C106,19988,0,0,Solo,Yes,3,"Manchester, England"
"Sagesser, Mlle. Emma",Miss,Yes,First,Female,24,Young Adult,Cherbourg,69.3000,Premium,B,B35,PC 17477,0,0,Solo,Yes,9,
"Salomon, Mr. Abraham L",Mr,Yes,First,Male,,Unknown,Southampton,26.0000,Standard,Unknown,,111163,0,0,Solo,Yes,1,"New York, NY"
"Schabert, Mrs. Paul (Emma Mock)",Mrs,Yes,First,Female,35,Young Adult,Cherbourg,57.7500,Premium,C,C28,13236,1,0,Small Family,Yes,11,"New York, NY"
"Serepeca, Miss. Augusta",Miss,Yes,First,Female,30,Young Adult,Cherbourg,31.0000,Premium,Unknown,,113798,0,0,Solo,Yes,4,
"Seward, Mr. Frederic Kimber",Mr,Yes,First,Male,34,Young Adult,Southampton,26.5500,Standard,Unknown,,113794,0,0,Solo,Yes,7,"New York, NY"
"Shutes, Miss. Elizabeth W",Miss,Yes,First,Female,40,Middle Aged,Southampton,153.4625,Luxury,C,C125,PC 17582,0,0,Solo,Yes,3,"New York, NY / Greenwich CT"
"Silverthorne, Mr. Spencer Victor",Mr,Yes,First,Male,35,Young Adult,Southampton,26.2875,Standard,E,E24,PC 17475,0,0,Solo,Yes,5,"St Louis, MO"
"Silvey, Mr. William Baird",Mr,No,First,Male,50,Middle Aged,Southampton,55.9000,Premium,E,E44,13507,1,0,Small Family,No,,"Duluth, MN"
"Silvey, Mrs. William Baird (Alice Munger)",Mrs,Yes,First,Female,39,Middle Aged,Southampton,55.9000,Premium,E,E44,13507,1,0,Small Family,Yes,11,"Duluth, MN"
"Simonius-Blumer, Col. Oberst Alfons",Officer,Yes,First,Male,56,Senior,Cherbourg,35.5000,Premium,A,A26,13213,0,0,Solo,Yes,3,"Basel, Switzerland"
"Sloper, Mr. William Thompson",Mr,Yes,First,Male,28,Young Adult,Southampton,35.5000,Premium,A,A6,113788,0,0,Solo,Yes,7,"New Britain, CT"
"Smart, Mr. John Montgomery",Mr,No,First,Male,56,Senior,Southampton,26.5500,Standard,Unknown,,113792,0,0,Solo,No,,"New York, NY"
"Smith, Mr. James Clinch",Mr,No,First,Male,56,Senior,Cherbourg,30.6958,Premium,A,A7,17764,0,0,Solo,No,,"St James, Long Island, NY"
"Smith, Mr. Lucien Philip",Mr,No,First,Male,24,Young Adult,Southampton,60.0000,Premium,C,C31,13695,1,0,Small Family,No,,"Huntington, WV"
"Smith, Mr. Richard William",Mr,No,First,Male,,Unknown,Southampton,26.0000,Standard,A,A19,113056,0,0,Solo,No,,"Streatham, Surrey"
"Smith, Mrs. Lucien Philip (Mary Eloise Hughes)",Mrs,Yes,First,Female,18,Teen,Southampton,60.0000,Premium,C,C31,13695,1,0,Small Family,Yes,6,"Huntington, WV"
"Snyder, Mr. John Pillsbury",Mr,Yes,First,Male,24,Young Adult,Southampton,82.2667,Premium,B,B45,21228,1,0,Small Family,Yes,7,"Minneapolis, MN"
"Snyder, Mrs. John Pillsbury (Nelle Stevenson)",Mrs,Yes,First,Female,23,Young Adult,Southampton,82.2667,Premium,B,B45,21228,1,0,Small Family,Yes,7,"Minneapolis, MN"
"Spedden, Master. Robert Douglas",Master,Yes,First,Male,6,Child,Cherbourg,134.5000,Luxury,E,E34,16966,0,2,Small Family,Yes,3,"Tuxedo Park, NY"
"Spedden, Mr. Frederic Oakley",Mr,Yes,First,Male,45,Middle Aged,Cherbourg,134.5000,Luxury,E,E34,16966,1,1,Small Family,Yes,3,"Tuxedo Park, NY"
"Spedden, Mrs. Frederic Oakley (Margaretta Corning Stone)",Mrs,Yes,First,Female,40,Middle Aged,Cherbourg,134.5000,Luxury,E,E34,16966,1,1,Small Family,Yes,3,"Tuxedo Park, NY"
"Spencer, Mr. William Augustus",Mr,No,First,Male,57,Senior,Cherbourg,146.5208,Luxury,B,B78,PC 17569,1,0,Small Family,No,,"Paris, France"
"Spencer, Mrs. William Augustus (Marie Eugenie)",Mrs,Yes,First,Female,,Unknown,Cherbourg,146.5208,Luxury,B,B78,PC 17569,1,0,Small Family,Yes,6,"Paris, France"
"Stahelin-Maeglin, Dr. Max",Dr,Yes,First,Male,32,Young Adult,Cherbourg,30.5000,Premium,B,B50,13214,0,0,Solo,Yes,3,"Basel, Switzerland"
"Stead, Mr. William Thomas",Mr,No,First,Male,62,Senior,Southampton,26.5500,Standard,C,C87,113514,0,0,Solo,No,,"Wimbledon Park, London / Hayling Island, Hants"
"Stengel, Mr. Charles Emil Henry",Mr,Yes,First,Male,54,Middle Aged,Cherbourg,55.4417,Premium,C,C116,11778,1,0,Small Family,Yes,1,"Newark, NJ"
"Stengel, Mrs. Charles Emil Henry (Annie May Morris)",Mrs,Yes,First,Female,43,Middle Aged,Cherbourg,55.4417,Premium,C,C116,11778,1,0,Small Family,Yes,5,"Newark, NJ"
"Stephenson, Mrs. Walter Bertram (Martha Eustis)",Mrs,Yes,First,Female,52,Middle Aged,Cherbourg,78.2667,Premium,D,D20,36947,1,0,Small Family,Yes,4,"Haverford, PA"
"Stewart, Mr. Albert A",Mr,No,First,Male,,Unknown,Cherbourg,27.7208,Standard,Unknown,,PC 17605,0,0,Solo,No,,"Gallipolis, Ohio / ? Paris / New York"
"Stone, Mrs. George Nelson (Martha Evelyn)",Mrs,Yes,First,Female,62,Senior,,80.0000,Premium,B,B28,113572,0,0,Solo,Yes,6,"Cincinatti, OH"
"Straus, Mr. Isidor",Mr,No,First,Male,67,Senior,Southampton,221.7792,Luxury,C,C55 C57,PC 17483,1,0,Small Family,No,,"New York, NY"
"Straus, Mrs. Isidor (Rosalie Ida Blun)",Mrs,No,First,Female,63,Senior,Southampton,221.7792,Luxury,C,C55 C57,PC 17483,1,0,Small Family,No,,"New York, NY"
"Sutton, Mr. Frederick",Mr,No,First,Male,61,Senior,Southampton,32.3208,Premium,D,D50,36963,0,0,Solo,No,,"Haddenfield, NJ"
"Swift, Mrs. Frederick Joel (Margaret Welles Barron)",Mrs,Yes,First,Female,48,Middle Aged,Southampton,25.9292,Standard,D,D17,17466,0,0,Solo,Yes,8,"Brooklyn, NY"
"Taussig, Miss. Ruth",Miss,Yes,First,Female,18,Teen,Southampton,79.6500,Premium,E,E68,110413,0,2,Small Family,Yes,8,"New York, NY"
"Taussig, Mr. Emil",Mr,No,First,Male,52,Middle Aged,Southampton,79.6500,Premium,E,E67,110413,1,1,Small Family,No,,"New York, NY"
"Taussig, Mrs. Emil (Tillie Mandelbaum)",Mrs,Yes,First,Female,39,Middle Aged,Southampton,79.6500,Premium,E,E67,110413,1,1,Small Family,Yes,8,"New York, NY"
"Taylor, Mr. Elmer Zebley",Mr,Yes,First,Male,48,Middle Aged,Southampton,52.0000,Premium,C,C126,19996,1,0,Small Family,Yes,5 7,"London /  East Orange, NJ"
"Taylor, Mrs. Elmer Zebley (Juliet Cummins Wright)",Mrs,Yes,First,Female,,Unknown,Southampton,52.0000,Premium,C,C126,19996,1,0,Small Family,Yes,5 7,"London /  East Orange, NJ"
"Thayer, Mr. John Borland",Mr,No,First,Male,49,Middle Aged,Cherbourg,110.8833,Luxury,C,C68,17421,1,1,Small Family,No,,"Haverford, PA"
"Thayer, Mr. John Borland Jr",Mr,Yes,First,Male,17,Teen,Cherbourg,110.8833,Luxury,C,C70,17421,0,2,Small Family,Yes,B,"Haverford, PA"
"Thayer, Mrs. John Borland (Marian Longstreth Morris)",Mrs,Yes,First,Female,39,Middle Aged,Cherbourg,110.8833,Luxury,C,C68,17421,1,1,Small Family,Yes,4,"Haverford, PA"
"Thorne, Mrs. Gertrude Maybelle",Mrs,Yes,First,Female,,Unknown,Cherbourg,79.2000,Premium,Unknown,,PC 17585,0,0,Solo,Yes,D,"New York, NY"
"Tucker, Mr. Gilbert Milligan Jr",Mr,Yes,First,Male,31,Young Adult,Cherbourg,28.5375,Standard,C,C53,2543,0,0,Solo,Yes,7,"Albany, NY"
"Uruchurtu, Don. Manuel E",Titled,No,First,Male,40,Middle Aged,Cherbourg,27.7208,Standard,Unknown,,PC 17601,0,0,Solo,No,,"Mexico City, Mexico"
"Van der hoef, Mr. Wyckoff",Mr,No,First,Male,61,Senior,Southampton,33.5000,Premium,B,B19,111240,0,0,Solo,No,,"Brooklyn, NY"
"Walker, Mr. William Anderson",Mr,No,First,Male,47,Middle Aged,Southampton,34.0208,Premium,D,D46,36967,0,0,Solo,No,,"East Orange, NJ"
"Ward, Miss. Anna",Miss,Yes,First,Female,35,Young Adult,Cherbourg,512.3292,Luxury,Unknown,,PC 17755,0,0,Solo,Yes,3,
"Warren, Mr. Frank Manley",Mr,No,First,Male,64,Senior,Cherbourg,75.2500,Premium,D,D37,110813,1,0,Small Family,No,,"Portland, OR"
"Warren, Mrs. Frank Manley (Anna Sophia Atkinson)",Mrs,Yes,First,Female,60,Senior,Cherbourg,75.2500,Premium,D,D37,110813,1,0,Small Family,Yes,5,"Portland, OR"
"Weir, Col. John",Officer,No,First,Male,60,Senior,Southampton,26.5500,Standard,Unknown,,113800,0,0,Solo,No,,"England Salt Lake City, Utah"
"White, Mr. Percival Wayland",Mr,No,First,Male,54,Middle Aged,Southampton,77.2875,Premium,D,D26,35281,0,1,Small Family,No,,"Brunswick, ME"
"White, Mr. Richard Frasar",Mr,No,First,Male,21,Young Adult,Southampton,77.2875,Premium,D,D26,35281,0,1,Small Family,No,,"Brunswick, ME"
